"cocina" "lavanderia" "aireacondicionado" "total" "pct_usodia" "pct_usonoche" "antiguedad" "mora" "llamadas0" "llamadas1" "llamadas2" "llamadas3" "Region1" "Region2" "Region3" "usaapp" "puntopago" "kmm$cluster"
48 60 32 140 0.77 0.23 45 0 0 0 1 0 0 1 0 0 3 4
42 49 40 131 0.9 0.1 29 0 0 1 0 0 1 0 0 0 3 1
39 62 41 142 0.93 0.07 26 0 0 1 0 0 0 0 1 0 1 1
46 55 33 134 0.94 0.06 26 0 0 1 0 0 0 0 1 0 1 1
49 73 48 170 0.7 0.3 50 0 1 0 0 0 1 0 0 0 1 2
40 61 40 141 0.71 0.29 56 0 0 1 0 0 1 0 0 0 3 1
54 59 32 145 0.75 0.25 58 0 0 1 0 0 1 0 0 1 4 1
40 61 40 141 0.71 0.29 56 0 0 1 0 0 1 0 0 0 3 1
46 80 22 148 0.74 0.26 58 0 1 0 0 0 0 1 0 1 1 2
50 78 54 182 0.75 0.25 42 0 0 1 0 0 0 1 0 1 1 1
44 46 43 133 0.77 0.23 49 0 0 0 1 0 0 1 0 1 1 4
33 106 14 153 0.73 0.27 58 0 0 1 0 0 0 0 1 0 1 2
39 45 37 121 0.77 0.23 40 0 0 1 0 0 0 1 0 1 1 1
31 96 9 136 0.71 0.29 50 0 1 0 0 0 1 0 0 0 2 2
25 96 13 134 0.78 0.22 55 0 0 1 0 0 0 1 0 0 2 2
30 100 9 139 0.78 0.22 57 0 1 0 0 0 1 0 0 1 3 2
40 45 42 127 0.74 0.26 42 0 0 1 0 0 0 1 0 0 2 1
54 60 40 154 0.76 0.24 49 0 0 1 0 0 0 1 0 0 1 1
46 49 45 140 0.74 0.26 41 0 0 1 0 0 0 1 0 1 1 1
45 72 19 136 0.77 0.23 56 0 1 0 0 0 0 0 1 0 3 2
54 59 32 145 0.75 0.25 58 0 0 1 0 0 1 0 0 1 4 1
24 28 11 63 0.23 0.77 58 1 0 0 1 0 0 1 0 0 1 3
35 76 29 140 0.1 0.9 46 0 0 0 0 1 0 1 0 0 4 3
45 76 46 167 0.71 0.29 50 0 1 0 0 0 1 0 0 0 1 2
40 78 49 167 0.75 0.25 50 0 0 1 0 0 1 0 0 0 1 1
46 50 42 138 0.75 0.25 40 0 0 1 0 0 0 1 0 1 2 1
44 49 37 130 0.88 0.12 27 0 0 0 1 0 0 0 1 1 1 4
29 107 12 148 0.15 0.85 48 0 1 0 0 0 0 1 0 0 2 2
25 30 12 67 0.2 0.8 47 1 0 0 0 1 0 1 0 0 2 3
41 57 36 134 0.77 0.23 52 0 0 1 0 0 1 0 0 0 3 1
43 48 43 134 0.94 0.06 23 0 0 0 1 0 0 0 1 0 2 4
45 72 21 138 0.75 0.25 53 0 0 1 0 0 0 0 1 1 1 1
36 78 30 144 0.78 0.22 58 0 0 1 0 0 1 0 0 1 3 1
46 78 30 154 0.78 0.22 54 0 1 0 0 0 0 0 1 0 3 2
29 111 9 149 0.75 0.25 26 0 0 1 0 0 0 0 1 0 4 2
40 47 35 122 0.79 0.21 49 0 0 1 0 0 0 1 0 0 3 1
28 108 10 146 0.75 0.25 48 0 0 1 0 0 1 0 0 0 3 2
39 65 26 130 0.15 0.85 56 1 0 0 1 0 1 0 0 0 1 4
22 29 15 66 0.22 0.78 26 1 0 0 0 1 0 0 1 0 1 3
44 48 48 140 0.89 0.11 25 0 0 0 1 0 1 0 0 1 3 4
35 104 13 152 0.71 0.29 49 0 1 0 0 0 0 0 1 1 1 2
31 97 11 139 0.71 0.29 44 0 1 0 0 0 0 0 1 0 3 2
52 68 46 166 0.8 0.2 56 1 0 1 0 0 0 0 1 0 1 1
42 80 45 167 0.77 0.23 47 0 0 1 0 0 0 0 1 0 1 1
31 102 14 147 0.75 0.25 40 0 0 1 0 0 0 1 0 0 4 2
44 46 41 131 0.76 0.24 54 0 0 1 0 0 1 0 0 0 1 1
50 45 42 137 0.76 0.24 57 0 0 1 0 0 0 1 0 1 3 1
49 76 54 179 0.75 0.25 52 0 1 0 0 0 0 0 1 0 2 2
30 103 9 142 0.72 0.28 30 0 1 0 0 0 0 1 0 0 3 2
45 52 42 139 0.85 0.15 29 0 0 0 1 0 0 0 1 0 1 4
54 51 30 135 0.85 0.15 25 0 0 0 1 0 0 0 1 0 3 4
21 33 11 65 0.21 0.79 58 0 0 0 0 1 0 1 0 0 2 3
26 102 14 142 0.79 0.21 29 0 1 0 0 0 1 0 0 0 1 2
42 77 55 174 0.78 0.22 51 0 0 1 0 0 0 1 0 0 1 1
50 62 34 146 0.77 0.23 53 0 0 1 0 0 0 0 1 0 3 1
48 58 42 148 0.92 0.08 39 0 0 1 0 0 0 0 1 0 1 1
56 63 45 164 0.79 0.21 42 0 0 0 1 0 0 1 0 0 1 4
45 51 19 115 0.86 0.14 27 0 0 0 1 0 0 1 0 0 3 4
35 101 15 151 0.77 0.23 58 0 0 1 0 0 0 1 0 0 3 2
65 45 27 137 0.77 0.23 47 0 0 0 1 0 1 0 0 0 1 4
54 75 26 155 0.94 0.06 24 0 0 1 0 0 0 1 0 0 3 1
42 77 55 174 0.78 0.22 51 0 0 1 0 0 0 1 0 0 1 1
49 49 40 138 0.73 0.27 46 0 0 0 1 0 0 1 0 1 2 4
46 49 31 126 0.89 0.11 37 0 0 1 0 0 1 0 0 1 4 1
44 66 48 158 0.72 0.28 37 0 0 1 0 0 1 0 0 0 3 1
63 60 30 153 0.95 0.05 37 0 0 0 1 0 0 0 1 1 2 4
38 67 38 143 0.73 0.27 47 0 0 1 0 0 0 0 1 1 1 1
24 22 10 56 0.25 0.75 49 0 0 0 0 1 0 1 0 1 1 3
26 108 15 149 0.76 0.24 42 0 1 0 0 0 0 0 1 0 2 2
35 105 11 151 0.72 0.28 26 0 0 1 0 0 0 0 1 0 3 2
41 79 49 169 0.73 0.27 43 0 1 0 0 0 0 0 1 0 3 2
37 71 45 153 0.74 0.26 45 0 0 1 0 0 0 0 1 0 1 1
33 112 9 154 0.75 0.25 47 0 1 0 0 0 0 1 0 0 1 2
49 58 32 139 0.9 0.1 25 0 0 1 0 0 0 1 0 1 1 1
27 100 9 136 0.15 0.85 51 0 1 0 0 0 0 1 0 0 1 2
40 78 49 167 0.75 0.25 50 0 0 1 0 0 1 0 0 0 1 1
29 98 12 139 0.73 0.27 32 1 0 1 0 0 1 0 0 1 1 2
60 66 29 155 0.87 0.13 34 1 0 0 0 1 0 1 0 1 3 4
54 59 32 145 0.75 0.25 58 0 0 1 0 0 1 0 0 1 4 1
50 76 51 177 0.78 0.22 40 1 1 0 0 0 0 1 0 1 1 4
35 111 10 156 0.15 0.85 57 0 1 0 0 0 0 1 0 0 2 2
45 55 44 144 0.76 0.24 45 0 0 1 0 0 0 1 0 0 2 1
33 101 11 145 0.74 0.26 55 0 0 1 0 0 0 1 0 0 1 2
42 66 35 143 0.14 0.86 58 1 0 0 1 0 0 0 1 0 1 4
46 54 32 132 0.88 0.12 22 0 0 1 0 0 0 1 0 0 1 1
46 46 20 112 0.88 0.12 40 0 0 1 0 0 0 0 1 0 3 1
53 65 43 161 0.76 0.24 58 0 0 0 1 0 0 1 0 0 1 4
52 60 30 142 0.73 0.27 48 0 0 0 1 0 1 0 0 1 1 4
45 49 31 125 0.94 0.06 32 0 0 0 1 0 1 0 0 0 1 4
64 52 51 167 0.79 0.21 44 0 0 0 1 0 0 1 0 1 1 4
53 62 50 165 0.88 0.12 37 0 0 1 0 0 0 1 0 0 3 1
42 73 42 157 0.79 0.21 40 0 1 0 0 0 1 0 0 1 2 2
40 56 34 130 0.92 0.08 40 0 0 0 1 0 1 0 0 0 3 4
36 78 30 144 0.78 0.22 58 0 0 1 0 0 1 0 0 1 3 1
40 78 49 167 0.75 0.25 50 0 0 1 0 0 1 0 0 0 1 1
44 66 48 158 0.78 0.22 47 0 0 1 0 0 0 1 0 0 3 1
39 68 28 135 0.16 0.84 44 0 0 0 1 0 0 1 0 1 3 4
45 47 35 127 0.79 0.21 44 0 0 0 1 0 0 0 1 1 2 4
27 110 12 149 0.78 0.22 33 0 1 0 0 0 0 1 0 0 1 2
42 80 45 167 0.77 0.23 47 0 0 1 0 0 0 0 1 0 1 1
20 25 13 58 0.29 0.71 36 0 0 0 1 0 0 1 0 0 3 3
28 110 15 153 0.72 0.28 50 0 0 1 0 0 0 1 0 0 3 2
42 77 55 174 0.78 0.22 51 0 0 1 0 0 0 1 0 0 1 1
54 60 30 144 0.91 0.09 25 0 0 1 0 0 0 0 1 0 2 1
35 112 10 157 0.13 0.87 36 0 1 0 0 0 0 1 0 0 1 2
34 66 45 145 0.72 0.28 43 0 1 0 0 0 0 1 0 1 1 2
26 99 12 137 0.13 0.87 35 0 0 1 0 0 0 1 0 1 2 2
42 49 30 121 0.76 0.24 46 0 0 0 1 0 0 0 1 0 1 4
48 66 24 138 0.74 0.26 47 0 1 0 0 0 0 0 1 1 3 2
59 47 26 132 0.95 0.05 34 0 0 1 0 0 0 1 0 0 3 1
43 73 36 152 0.75 0.25 50 0 1 0 0 0 1 0 0 1 1 2
20 25 11 56 0.28 0.72 39 0 0 0 0 1 1 0 0 0 2 3
52 79 45 176 0.78 0.22 46 0 1 0 0 0 1 0 0 0 1 2
29 111 14 154 0.79 0.21 47 0 1 0 0 0 0 1 0 0 3 2
31 101 9 141 0.77 0.23 50 0 0 1 0 0 0 1 0 0 2 2
36 76 42 154 0.77 0.23 53 0 1 0 0 0 0 1 0 1 1 2
20 24 10 54 0.3 0.7 48 1 0 0 1 0 0 1 0 0 1 3
45 50 44 139 0.75 0.25 47 0 0 1 0 0 0 0 1 0 1 1
45 56 29 130 0.15 0.85 46 1 0 0 1 0 0 1 0 0 3 4
39 62 44 145 0.89 0.11 28 0 0 0 1 0 0 0 1 1 3 4
20 22 9 51 0.21 0.79 45 1 0 0 0 1 0 1 0 0 1 3
49 73 43 165 0.12 0.88 53 1 0 0 1 0 0 1 0 0 3 4
39 45 37 121 0.77 0.23 40 0 0 1 0 0 0 1 0 1 1 1
30 106 10 146 0.77 0.23 52 0 1 0 0 0 1 0 0 1 1 2
49 49 39 137 0.93 0.07 24 0 0 1 0 0 0 1 0 0 1 1
44 49 37 130 0.88 0.12 27 0 0 0 1 0 0 0 1 1 1 4
26 108 15 149 0.74 0.26 57 0 0 1 0 0 0 1 0 0 1 2
48 77 42 167 0.76 0.24 58 0 1 0 0 0 1 0 0 0 1 2
66 52 55 173 0.79 0.21 58 0 0 0 1 0 1 0 0 0 3 4
27 111 14 152 0.72 0.28 50 0 1 0 0 0 1 0 0 1 4 2
27 97 14 138 0.77 0.23 51 0 1 0 0 0 1 0 0 0 1 2
44 46 43 133 0.77 0.23 49 0 0 0 1 0 0 1 0 1 1 4
40 61 35 136 0.89 0.11 22 0 0 0 1 0 0 1 0 0 2 4
38 75 25 138 0.76 0.24 42 0 0 1 0 0 1 0 0 0 1 1
26 99 10 135 0.11 0.89 49 0 1 0 0 0 0 1 0 0 1 2
31 103 15 149 0.12 0.88 51 0 1 0 0 0 1 0 0 0 4 2
46 67 27 140 0.72 0.28 47 0 1 0 0 0 1 0 0 1 2 2
32 65 55 152 0.78 0.22 47 0 0 1 0 0 0 0 1 0 1 1
25 30 9 64 0.27 0.73 47 1 0 0 0 1 1 0 0 0 3 3
46 50 40 136 0.75 0.25 54 0 0 0 1 0 0 1 0 0 3 4
54 59 32 145 0.75 0.25 58 0 0 1 0 0 1 0 0 1 4 1
54 51 30 135 0.85 0.15 25 0 0 0 1 0 0 0 1 0 3 4
50 45 42 137 0.76 0.24 57 0 0 1 0 0 0 1 0 1 3 1
45 54 26 125 0.78 0.22 48 0 0 1 0 0 0 1 0 0 4 1
54 67 38 159 0.72 0.28 55 0 0 1 0 0 1 0 0 1 2 1
40 61 35 136 0.89 0.11 22 0 0 0 1 0 0 1 0 0 2 4
52 76 23 151 0.15 0.85 36 0 0 0 0 1 0 1 0 0 1 3
35 111 10 156 0.15 0.85 57 0 1 0 0 0 0 1 0 0 2 2
46 49 45 140 0.74 0.26 41 0 0 1 0 0 0 1 0 1 1 1
36 78 30 144 0.78 0.22 58 0 0 1 0 0 1 0 0 1 3 1
54 60 40 154 0.76 0.24 49 0 0 1 0 0 0 1 0 0 1 1
47 51 34 132 0.87 0.13 29 0 0 0 1 0 1 0 0 1 1 4
43 60 41 144 0.73 0.27 56 0 0 0 1 0 1 0 0 1 3 4
33 65 25 123 0.8 0.2 57 0 0 0 1 0 1 0 0 0 3 4
51 55 32 138 0.86 0.14 26 0 0 1 0 0 0 0 1 0 1 1
43 56 41 140 0.87 0.13 36 0 0 0 1 0 0 1 0 0 1 4
54 70 47 171 0.87 0.13 34 0 0 0 1 0 0 0 1 0 1 4
46 55 36 137 0.75 0.25 45 0 0 1 0 0 0 1 0 0 1 1
52 78 36 166 0.79 0.21 52 0 0 0 1 0 1 0 0 0 2 4
45 56 33 134 0.79 0.21 49 0 0 1 0 0 0 1 0 0 3 1
20 25 13 58 0.29 0.71 36 0 0 0 1 0 0 1 0 0 3 3
54 60 40 154 0.76 0.24 49 0 0 1 0 0 0 1 0 0 1 1
34 105 13 152 0.75 0.25 41 0 1 0 0 0 0 1 0 0 4 2
46 51 31 128 0.92 0.08 24 0 0 1 0 0 0 1 0 1 2 1
51 55 39 145 0.78 0.22 44 0 0 0 1 0 0 1 0 0 2 4
41 57 44 142 0.74 0.26 50 0 0 1 0 0 0 0 1 0 3 1
45 64 40 149 0.92 0.08 37 1 0 0 0 1 0 0 1 0 3 1
47 51 34 132 0.87 0.13 29 0 0 0 1 0 1 0 0 1 1 4
45 58 42 145 0.19 0.81 41 0 0 0 1 0 0 1 0 1 1 4
32 95 10 137 0.77 0.23 49 0 1 0 0 0 0 0 1 0 2 2
44 46 45 135 0.8 0.2 48 0 0 0 1 0 0 1 0 0 3 4
51 62 40 153 0.72 0.28 57 0 0 1 0 0 1 0 0 0 1 1
46 49 45 140 0.74 0.26 41 0 0 1 0 0 0 1 0 1 1 1
24 22 10 56 0.25 0.75 49 0 0 0 0 1 0 1 0 1 1 3
45 67 32 144 0.19 0.81 35 0 0 0 1 0 0 1 0 0 1 4
47 55 30 132 0.78 0.22 53 0 0 1 0 0 0 1 0 0 3 1
38 65 55 158 0.74 0.26 57 0 1 0 0 0 0 0 1 0 1 2
50 49 30 129 0.74 0.26 48 0 0 1 0 0 0 1 0 0 1 1
45 68 46 159 0.78 0.22 47 0 0 1 0 0 0 0 1 0 1 1
41 57 44 142 0.74 0.26 50 0 0 1 0 0 0 0 1 0 3 1
52 70 44 166 0.76 0.24 46 0 0 1 0 0 1 0 0 0 3 1
48 58 42 148 0.92 0.08 39 0 0 1 0 0 0 0 1 0 1 1
19 35 14 68 0.25 0.75 43 1 0 0 1 0 0 1 0 0 1 3
38 79 21 138 0.77 0.23 50 0 0 0 1 0 0 0 1 0 1 4
56 63 45 164 0.79 0.21 42 0 0 0 1 0 0 1 0 0 1 4
60 58 33 151 0.93 0.07 30 0 0 0 1 0 0 1 0 0 3 4
54 47 42 143 0.92 0.08 32 0 0 1 0 0 0 0 1 0 1 1
33 98 14 145 0.72 0.28 24 0 1 0 0 0 1 0 0 1 3 2
46 55 36 137 0.75 0.25 45 0 0 1 0 0 0 1 0 0 1 1
44 73 41 158 0.78 0.22 45 0 0 1 0 0 0 0 1 0 1 1
30 100 9 139 0.78 0.22 57 0 1 0 0 0 1 0 0 1 3 2
35 101 15 151 0.13 0.87 56 0 1 0 0 0 0 1 0 0 2 2
50 49 30 129 0.74 0.26 48 0 0 1 0 0 0 1 0 0 1 1
47 70 26 143 0.79 0.21 55 0 0 1 0 0 1 0 0 0 1 1
43 54 36 133 0.93 0.07 24 0 0 1 0 0 0 1 0 1 2 1
29 107 9 145 0.75 0.25 42 0 1 0 0 0 0 0 1 0 3 2
49 69 28 146 0.77 0.23 51 0 0 1 0 0 1 0 0 0 1 1
47 76 30 153 0.73 0.27 53 0 1 0 0 0 0 1 0 1 3 2
40 56 34 130 0.92 0.08 40 0 0 0 1 0 1 0 0 0 3 4
39 75 31 145 0.11 0.89 53 0 0 0 1 0 0 1 0 0 1 4
46 71 40 157 0.15 0.85 53 1 0 0 1 0 0 1 0 1 1 4
21 35 10 66 0.24 0.76 45 1 0 0 0 1 0 1 0 0 3 3
35 108 9 152 0.12 0.88 34 0 1 0 0 0 0 1 0 1 3 2
64 52 51 167 0.79 0.21 44 0 0 0 1 0 0 1 0 1 1 4
47 70 22 139 0.73 0.27 54 0 0 1 0 0 1 0 0 0 2 1
45 78 47 170 0.94 0.06 23 0 0 1 0 0 1 0 0 0 1 1
51 51 33 135 0.77 0.23 47 0 0 1 0 0 0 1 0 0 1 1
20 24 10 54 0.3 0.7 48 1 0 0 1 0 0 1 0 0 1 3
34 75 47 156 0.72 0.28 47 0 1 0 0 0 0 0 1 0 1 2
19 22 14 55 0.22 0.78 36 0 0 0 1 0 0 1 0 0 2 3
25 96 12 133 0.15 0.85 55 0 1 0 0 0 0 1 0 0 3 2
24 22 15 61 0.22 0.78 58 0 0 0 0 1 0 1 0 0 2 3
63 64 39 166 0.87 0.13 22 0 0 0 1 0 1 0 0 0 3 4
39 75 31 145 0.11 0.89 53 0 0 0 1 0 0 1 0 0 1 4
70 49 48 167 0.92 0.08 37 0 0 1 0 0 0 1 0 1 2 1
40 47 35 122 0.79 0.21 49 0 0 1 0 0 0 1 0 0 3 1
35 95 9 139 0.17 0.83 52 0 1 0 0 0 0 1 0 0 1 2
41 57 36 134 0.77 0.23 52 0 0 1 0 0 1 0 0 0 3 1
55 52 33 140 0.76 0.24 58 0 0 1 0 0 1 0 0 0 1 1
71 48 22 141 0.88 0.12 29 0 0 0 1 0 0 1 0 0 3 4
41 59 51 151 0.87 0.13 28 0 0 0 1 0 1 0 0 0 3 4
53 62 50 165 0.88 0.12 37 0 0 1 0 0 0 1 0 0 3 1
48 58 42 148 0.92 0.08 39 0 0 1 0 0 0 0 1 0 1 1
57 51 40 148 0.93 0.07 23 0 0 1 0 0 1 0 0 0 2 1
52 51 35 138 0.71 0.29 48 0 0 0 1 0 0 0 1 0 2 4
54 66 22 142 0.77 0.23 46 0 0 1 0 0 0 0 1 0 2 1
46 50 40 136 0.75 0.25 54 0 0 0 1 0 0 1 0 0 3 4
42 78 54 174 0.73 0.27 43 0 1 0 0 0 1 0 0 0 1 2
46 55 33 134 0.94 0.06 26 0 0 1 0 0 0 0 1 0 1 1
22 34 14 70 0.2 0.8 32 0 0 0 0 1 0 1 0 0 3 3
53 72 24 149 0.71 0.29 38 0 0 0 1 0 0 0 1 0 1 4
32 66 20 118 0.77 0.23 50 0 0 1 0 0 0 1 0 0 1 1
47 58 35 140 0.85 0.15 27 0 0 1 0 0 0 0 1 0 1 1
37 71 45 153 0.74 0.26 45 0 0 1 0 0 0 0 1 0 1 1
31 101 9 141 0.77 0.23 50 0 0 1 0 0 0 1 0 0 2 2
51 62 40 153 0.72 0.28 57 0 0 1 0 0 1 0 0 0 1 1
34 68 45 147 0.79 0.21 55 0 0 0 1 0 0 0 1 0 1 4
49 68 50 167 0.7 0.3 45 0 0 1 0 0 0 0 1 0 3 1
29 95 10 134 0.78 0.22 22 0 0 1 0 0 0 1 0 1 1 2
34 102 13 149 0.73 0.27 43 0 0 1 0 0 1 0 0 0 1 2
19 25 11 55 0.3 0.7 31 0 0 0 0 1 0 1 0 0 1 3
44 48 48 140 0.89 0.11 25 0 0 0 1 0 1 0 0 1 3 4
22 27 13 62 0.23 0.77 39 0 0 0 1 0 0 1 0 0 1 3
30 100 9 139 0.78 0.22 57 0 1 0 0 0 1 0 0 1 3 2
48 51 41 140 0.86 0.14 36 0 0 0 1 0 1 0 0 0 1 4
54 58 22 134 0.87 0.13 34 0 0 0 1 0 0 1 0 0 1 4
39 76 23 138 0.71 0.29 41 0 1 0 0 0 0 0 1 0 1 2
50 45 42 137 0.76 0.24 57 0 0 1 0 0 0 1 0 1 3 1
41 58 37 136 0.14 0.86 57 0 0 0 1 0 0 1 0 0 3 4
32 72 38 142 0.72 0.28 53 0 1 0 0 0 1 0 0 0 1 2
54 59 32 145 0.75 0.25 58 0 0 1 0 0 1 0 0 1 4 1
33 66 28 127 0.72 0.28 43 0 1 0 0 0 1 0 0 0 3 2
46 55 36 137 0.75 0.25 45 0 0 1 0 0 0 1 0 0 1 1
37 77 40 154 0.71 0.29 51 0 0 1 0 0 0 0 1 1 3 1
46 71 40 157 0.15 0.85 53 1 0 0 1 0 0 1 0 1 1 4
40 71 38 149 0.71 0.29 57 0 1 0 0 0 1 0 0 0 1 2
35 112 10 157 0.13 0.87 36 0 1 0 0 0 0 1 0 0 1 2
37 77 40 154 0.71 0.29 51 0 0 1 0 0 0 0 1 1 3 1
49 74 44 167 0.77 0.23 44 0 0 1 0 0 1 0 0 0 1 1
20 25 11 56 0.28 0.72 39 0 0 0 0 1 1 0 0 0 2 3
40 47 39 126 0.95 0.05 28 0 0 1 0 0 1 0 0 1 3 1
23 36 9 68 0.25 0.75 40 0 0 0 0 1 0 1 0 1 1 3
49 49 39 137 0.93 0.07 24 0 0 1 0 0 0 1 0 0 1 1
60 55 31 146 0.72 0.28 55 0 0 0 1 0 0 0 1 1 2 4
35 112 10 157 0.13 0.87 36 0 1 0 0 0 0 1 0 0 1 2
55 48 40 143 0.76 0.24 42 0 0 1 0 0 1 0 0 0 1 1
55 53 40 148 0.93 0.07 26 0 0 1 0 0 1 0 0 0 1 1
39 78 31 148 0.14 0.86 35 1 0 0 1 0 0 1 0 0 3 4
48 64 24 136 0.15 0.85 50 1 0 0 0 1 0 1 0 0 3 3
52 59 35 146 0.77 0.23 41 0 0 1 0 0 0 0 1 0 1 1
31 109 12 152 0.73 0.27 46 0 0 1 0 0 0 0 1 0 2 2
51 48 42 141 0.92 0.08 38 0 0 1 0 0 0 1 0 1 3 1
42 71 37 150 0.17 0.83 40 0 0 0 1 0 0 1 0 1 3 4
55 48 40 143 0.76 0.24 42 0 0 1 0 0 1 0 0 0 1 1
39 75 42 156 0.78 0.22 33 0 0 0 1 0 0 0 1 1 2 4
20 25 13 58 0.29 0.71 36 0 0 0 1 0 0 1 0 0 3 3
25 96 13 134 0.78 0.22 55 0 0 1 0 0 0 1 0 0 2 2
52 70 44 166 0.76 0.24 46 0 0 1 0 0 1 0 0 0 3 1
46 71 40 157 0.15 0.85 53 1 0 0 1 0 0 1 0 1 1 4
63 57 24 144 0.86 0.14 35 0 0 1 0 0 1 0 0 0 1 1
38 65 47 150 0.72 0.28 48 0 0 1 0 0 0 1 0 1 1 1
48 52 44 144 0.89 0.11 25 0 0 0 1 0 0 1 0 0 3 4
52 76 23 151 0.15 0.85 36 0 0 0 0 1 0 1 0 0 1 3
22 30 10 62 0.23 0.77 45 1 0 1 0 0 1 0 0 0 3 3
45 68 46 159 0.78 0.22 47 0 0 1 0 0 0 0 1 0 1 1
35 95 9 139 0.17 0.83 52 0 1 0 0 0 0 1 0 0 1 2
48 69 55 172 0.74 0.26 45 0 0 1 0 0 1 0 0 0 2 1
52 79 45 176 0.78 0.22 46 0 1 0 0 0 1 0 0 0 1 2
47 56 30 133 0.8 0.2 54 0 0 1 0 0 0 1 0 1 3 1
60 58 33 151 0.93 0.07 30 0 0 0 1 0 0 1 0 0 3 4
47 46 35 128 0.9 0.1 25 0 0 1 0 0 0 1 0 1 2 1
21 33 11 65 0.21 0.79 58 0 0 0 0 1 0 1 0 0 2 3
45 68 39 152 0.74 0.26 48 0 0 0 1 0 0 1 0 0 1 4
47 51 34 132 0.87 0.13 29 0 0 0 1 0 1 0 0 1 1 4
48 61 23 132 0.87 0.13 22 0 0 0 1 0 1 0 0 0 3 4
47 49 33 129 0.78 0.22 51 0 0 1 0 0 0 1 0 1 4 1
30 106 9 145 0.15 0.85 48 0 0 1 0 0 0 1 0 0 2 2
49 49 40 138 0.73 0.27 46 0 0 0 1 0 0 1 0 1 2 4
40 47 39 126 0.95 0.05 28 0 0 1 0 0 1 0 0 1 3 1
34 105 13 152 0.75 0.25 41 0 1 0 0 0 0 1 0 0 4 2
31 96 9 136 0.71 0.29 50 0 1 0 0 0 1 0 0 0 2 2
56 63 45 164 0.79 0.21 42 0 0 0 1 0 0 1 0 0 1 4
48 66 31 145 0.19 0.81 42 0 0 0 1 0 0 1 0 0 1 4
48 64 24 136 0.15 0.85 50 1 0 0 0 1 0 1 0 0 3 3
40 61 40 141 0.71 0.29 56 0 0 1 0 0 1 0 0 0 3 1
44 65 43 152 0.76 0.24 56 0 0 1 0 0 1 0 0 0 1 1
35 111 10 156 0.15 0.85 57 0 1 0 0 0 0 1 0 0 2 2
