COCINA_ELECTRICA,LAVANDERIA,AIREACONDICIONADO,PCT_USODIA,PCT_USONOCHE,ENMORA,LLAMADASACALLCENTER,REGION,ANTIGUEDAD_CLIENTE,USUARIO_CANAL_DIGITAL,PUNTO_PAGO
46,55,33,0.94,0.06,0,1,3,26,0,1
49,73,48,0.7,0.3,0,0,1,50,0,1
40,61,40,0.71,0.29,0,1,1,56,0,3
54,59,32,0.75,0.25,0,1,1,58,1,4
40,61,40,0.71,0.29,0,1,1,56,0,3
46,80,22,0.74,0.26,0,0,2,58,1,1
50,78,54,0.75,0.25,0,1,2,42,1,1
44,46,43,0.77,0.23,0,2,2,49,1,1
33,106,14,0.73,0.27,0,1,3,58,0,1
39,45,37,0.77,0.23,0,1,2,40,1,1
31,96,9,0.71,0.29,0,0,1,50,0,2
25,96,13,0.78,0.22,0,1,2,55,0,2
30,100,9,0.78,0.22,0,0,1,57,1,3
40,45,42,0.74,0.26,0,1,2,42,0,2
54,60,40,0.76,0.24,0,1,2,49,0,1
46,49,45,0.74,0.26,0,1,2,41,1,1
45,72,19,0.77,0.23,0,0,3,56,0,3
54,59,32,0.75,0.25,0,1,1,58,1,4
24,28,11,0.23,0.77,1,2,2,58,0,1
35,76,29,0.1,0.9,0,3,2,46,0,4
45,76,46,0.71,0.29,0,0,1,50,0,1
40,78,49,0.75,0.25,0,1,1,50,0,1
46,50,42,0.75,0.25,0,1,2,40,1,2
44,49,37,0.88,0.12,0,2,3,27,1,1
29,107,12,0.15,0.85,0,0,2,48,0,2
25,30,12,0.2,0.8,1,3,2,47,0,2
41,57,36,0.77,0.23,0,1,1,52,0,3
43,48,43,0.94,0.06,0,2,3,23,0,2
45,72,21,0.75,0.25,0,1,3,53,1,1
36,78,30,0.78,0.22,0,1,1,58,1,3
46,78,30,0.78,0.22,0,0,3,54,0,3
29,111,9,0.75,0.25,0,1,3,26,0,4
40,47,35,0.79,0.21,0,1,2,49,0,3
28,108,10,0.75,0.25,0,1,1,48,0,3
39,65,26,0.15,0.85,1,2,1,56,0,1
22,29,15,0.22,0.78,1,3,3,26,0,1
44,48,48,0.89,0.11,0,2,1,25,1,3
35,104,13,0.71,0.29,0,0,3,49,1,1
31,97,11,0.71,0.29,0,0,3,44,0,3
52,68,46,0.8,0.2,1,1,3,56,0,1
42,80,45,0.77,0.23,0,1,3,47,0,1
31,102,14,0.75,0.25,0,1,2,40,0,4
44,46,41,0.76,0.24,0,1,1,54,0,1
50,45,42,0.76,0.24,0,1,2,57,1,3
49,76,54,0.75,0.25,0,0,3,52,0,2
30,103,9,0.72,0.28,0,0,2,30,0,3
45,52,42,0.85,0.15,0,2,3,29,0,1
54,51,30,0.85,0.15,0,2,3,25,0,3
21,33,11,0.21,0.79,0,3,2,58,0,2
26,102,14,0.79,0.21,0,0,1,29,0,1
42,77,55,0.78,0.22,0,1,2,51,0,1
50,62,34,0.77,0.23,0,1,3,53,0,3
48,58,42,0.92,0.08,0,1,3,39,0,1
56,63,45,0.79,0.21,0,2,2,42,0,1
45,51,19,0.86,0.14,0,2,2,27,0,3
35,101,15,0.77,0.23,0,1,2,58,0,3
65,45,27,0.77,0.23,0,2,1,47,0,1
54,75,26,0.94,0.06,0,1,2,24,0,3
42,77,55,0.78,0.22,0,1,2,51,0,1
49,49,40,0.73,0.27,0,2,2,46,1,2
46,49,31,0.89,0.11,0,1,1,37,1,4
44,66,48,0.72,0.28,0,1,1,37,0,3
63,60,30,0.95,0.05,0,2,3,37,1,2
38,67,38,0.73,0.27,0,1,3,47,1,1
24,22,10,0.25,0.75,0,3,2,49,1,1
26,108,15,0.76,0.24,0,0,3,42,0,2
35,105,11,0.72,0.28,0,1,3,26,0,3
41,79,49,0.73,0.27,0,0,3,43,0,3
37,71,45,0.74,0.26,0,1,3,45,0,1
33,112,9,0.75,0.25,0,0,2,47,0,1
49,58,32,0.9,0.1,0,1,2,25,1,1
27,100,9,0.15,0.85,0,0,2,51,0,1
40,78,49,0.75,0.25,0,1,1,50,0,1
29,98,12,0.73,0.27,1,1,1,32,1,1
60,66,29,0.87,0.13,1,3,2,34,1,3
54,59,32,0.75,0.25,0,1,1,58,1,4
50,76,51,0.78,0.22,1,0,2,40,1,1
35,111,10,0.15,0.85,0,0,2,57,0,2
45,55,44,0.76,0.24,0,1,2,45,0,2
33,101,11,0.74,0.26,0,1,2,55,0,1
42,66,35,0.14,0.86,1,2,3,58,0,1
46,54,32,0.88,0.12,0,1,2,22,0,1
46,46,20,0.88,0.12,0,1,3,40,0,3
53,65,43,0.76,0.24,0,2,2,58,0,1
52,60,30,0.73,0.27,0,2,1,48,1,1
45,49,31,0.94,0.06,0,2,1,32,0,1
64,52,51,0.79,0.21,0,2,2,44,1,1
53,62,50,0.88,0.12,0,1,2,37,0,3
42,73,42,0.79,0.21,0,0,1,40,1,2
40,56,34,0.92,0.08,0,2,1,40,0,3
36,78,30,0.78,0.22,0,1,1,58,1,3
40,78,49,0.75,0.25,0,1,1,50,0,1
44,66,48,0.78,0.22,0,1,2,47,0,3
39,68,28,0.16,0.84,0,2,2,44,1,3
45,47,35,0.79,0.21,0,2,3,44,1,2
27,110,12,0.78,0.22,0,0,2,33,0,1
42,80,45,0.77,0.23,0,1,3,47,0,1
20,25,13,0.29,0.71,0,2,2,36,0,3
28,110,15,0.72,0.28,0,1,2,50,0,3
42,77,55,0.78,0.22,0,1,2,51,0,1
54,60,30,0.91,0.09,0,1,3,25,0,2
35,112,10,0.13,0.87,0,0,2,36,0,1
34,66,45,0.72,0.28,0,0,2,43,1,1
26,99,12,0.13,0.87,0,1,2,35,1,2
42,49,30,0.76,0.24,0,2,3,46,0,1
48,66,24,0.74,0.26,0,0,3,47,1,3
59,47,26,0.95,0.05,0,1,2,34,0,3
43,73,36,0.75,0.25,0,0,1,50,1,1
20,25,11,0.28,0.72,0,3,1,39,0,2
52,79,45,0.78,0.22,0,0,1,46,0,1
29,111,14,0.79,0.21,0,0,2,47,0,3
31,101,9,0.77,0.23,0,1,2,50,0,2
36,76,42,0.77,0.23,0,0,2,53,1,1
20,24,10,0.3,0.7,1,2,2,48,0,1
45,50,44,0.75,0.25,0,1,3,47,0,1
45,56,29,0.15,0.85,1,2,2,46,0,3
39,62,44,0.89,0.11,0,2,3,28,1,3
20,22,9,0.21,0.79,1,3,2,45,0,1
49,73,43,0.12,0.88,1,2,2,53,0,3
39,45,37,0.77,0.23,0,1,2,40,1,1
30,106,10,0.77,0.23,0,0,1,52,1,1
49,49,39,0.93,0.07,0,1,2,24,0,1
44,49,37,0.88,0.12,0,2,3,27,1,1
26,108,15,0.74,0.26,0,1,2,57,0,1
48,77,42,0.76,0.24,0,0,1,58,0,1
66,52,55,0.79,0.21,0,2,1,58,0,3
27,111,14,0.72,0.28,0,0,1,50,1,4
27,97,14,0.77,0.23,0,0,1,51,0,1
44,46,43,0.77,0.23,0,2,2,49,1,1
40,61,35,0.89,0.11,0,2,2,22,0,2
38,75,25,0.76,0.24,0,1,1,42,0,1
26,99,10,0.11,0.89,0,0,2,49,0,1
31,103,15,0.12,0.88,0,0,1,51,0,4
46,67,27,0.72,0.28,0,0,1,47,1,2
32,65,55,0.78,0.22,0,1,3,47,0,1
25,30,9,0.27,0.73,1,3,1,47,0,3
46,50,40,0.75,0.25,0,2,2,54,0,3
54,59,32,0.75,0.25,0,1,1,58,1,4
54,51,30,0.85,0.15,0,2,3,25,0,3
50,45,42,0.76,0.24,0,1,2,57,1,3
45,54,26,0.78,0.22,0,1,2,48,0,4
54,67,38,0.72,0.28,0,1,1,55,1,2
40,61,35,0.89,0.11,0,2,2,22,0,2
52,76,23,0.15,0.85,0,3,2,36,0,1
35,111,10,0.15,0.85,0,0,2,57,0,2
46,49,45,0.74,0.26,0,1,2,41,1,1
36,78,30,0.78,0.22,0,1,1,58,1,3
54,60,40,0.76,0.24,0,1,2,49,0,1
47,51,34,0.87,0.13,0,2,1,29,1,1
43,60,41,0.73,0.27,0,2,1,56,1,3
33,65,25,0.8,0.2,0,2,1,57,0,3
51,55,32,0.86,0.14,0,1,3,26,0,1
43,56,41,0.87,0.13,0,2,2,36,0,1
54,70,47,0.87,0.13,0,2,3,34,0,1
46,55,36,0.75,0.25,0,1,2,45,0,1
52,78,36,0.79,0.21,0,2,1,52,0,2
45,56,33,0.79,0.21,0,1,2,49,0,3
20,25,13,0.29,0.71,0,2,2,36,0,3
54,60,40,0.76,0.24,0,1,2,49,0,1
34,105,13,0.75,0.25,0,0,2,41,0,4
46,51,31,0.92,0.08,0,1,2,24,1,2
51,55,39,0.78,0.22,0,2,2,44,0,2
41,57,44,0.74,0.26,0,1,3,50,0,3
45,64,40,0.92,0.08,1,3,3,37,0,3
47,51,34,0.87,0.13,0,2,1,29,1,1
45,58,42,0.19,0.81,0,2,2,41,1,1
32,95,10,0.77,0.23,0,0,3,49,0,2
44,46,45,0.8,0.2,0,2,2,48,0,3
51,62,40,0.72,0.28,0,1,1,57,0,1
46,49,45,0.74,0.26,0,1,2,41,1,1
24,22,10,0.25,0.75,0,3,2,49,1,1
45,67,32,0.19,0.81,0,2,2,35,0,1
47,55,30,0.78,0.22,0,1,2,53,0,3
38,65,55,0.74,0.26,0,0,3,57,0,1
50,49,30,0.74,0.26,0,1,2,48,0,1
45,68,46,0.78,0.22,0,1,3,47,0,1
41,57,44,0.74,0.26,0,1,3,50,0,3
52,70,44,0.76,0.24,0,1,1,46,0,3
48,58,42,0.92,0.08,0,1,3,39,0,1
19,35,14,0.25,0.75,1,2,2,43,0,1
38,79,21,0.77,0.23,0,2,3,50,0,1
56,63,45,0.79,0.21,0,2,2,42,0,1
60,58,33,0.93,0.07,0,2,2,30,0,3
54,47,42,0.92,0.08,0,1,3,32,0,1
33,98,14,0.72,0.28,0,0,1,24,1,3
46,55,36,0.75,0.25,0,1,2,45,0,1
44,73,41,0.78,0.22,0,1,3,45,0,1
30,100,9,0.78,0.22,0,0,1,57,1,3
35,101,15,0.13,0.87,0,0,2,56,0,2
50,49,30,0.74,0.26,0,1,2,48,0,1
47,70,26,0.79,0.21,0,1,1,55,0,1
43,54,36,0.93,0.07,0,1,2,24,1,2
29,107,9,0.75,0.25,0,0,3,42,0,3
49,69,28,0.77,0.23,0,1,1,51,0,1
47,76,30,0.73,0.27,0,0,2,53,1,3
40,56,34,0.92,0.08,0,2,1,40,0,3
39,75,31,0.11,0.89,0,2,2,53,0,1
46,71,40,0.15,0.85,1,2,2,53,1,1
21,35,10,0.24,0.76,1,3,2,45,0,3
35,108,9,0.12,0.88,0,0,2,34,1,3
64,52,51,0.79,0.21,0,2,2,44,1,1
47,70,22,0.73,0.27,0,1,1,54,0,2
45,78,47,0.94,0.06,0,1,1,23,0,1
51,51,33,0.77,0.23,0,1,2,47,0,1
20,24,10,0.3,0.7,1,2,2,48,0,1
34,75,47,0.72,0.28,0,0,3,47,0,1
19,22,14,0.22,0.78,0,2,2,36,0,2
25,96,12,0.15,0.85,0,0,2,55,0,3
24,22,15,0.22,0.78,0,3,2,58,0,2
63,64,39,0.87,0.13,0,2,1,22,0,3
39,75,31,0.11,0.89,0,2,2,53,0,1
70,49,48,0.92,0.08,0,1,2,37,1,2
40,47,35,0.79,0.21,0,1,2,49,0,3
35,95,9,0.17,0.83,0,0,2,52,0,1
41,57,36,0.77,0.23,0,1,1,52,0,3
55,52,33,0.76,0.24,0,1,1,58,0,1
71,48,22,0.88,0.12,0,2,2,29,0,3
41,59,51,0.87,0.13,0,2,1,28,0,3
53,62,50,0.88,0.12,0,1,2,37,0,3
48,58,42,0.92,0.08,0,1,3,39,0,1
57,51,40,0.93,0.07,0,1,1,23,0,2
52,51,35,0.71,0.29,0,2,3,48,0,2
54,66,22,0.77,0.23,0,1,3,46,0,2
46,50,40,0.75,0.25,0,2,2,54,0,3
42,78,54,0.73,0.27,0,0,1,43,0,1
46,55,33,0.94,0.06,0,1,3,26,0,1
22,34,14,0.2,0.8,0,3,2,32,0,3
53,72,24,0.71,0.29,0,2,3,38,0,1
32,66,20,0.77,0.23,0,1,2,50,0,1
47,58,35,0.85,0.15,0,1,3,27,0,1
37,71,45,0.74,0.26,0,1,3,45,0,1
31,101,9,0.77,0.23,0,1,2,50,0,2
51,62,40,0.72,0.28,0,1,1,57,0,1
34,68,45,0.79,0.21,0,2,3,55,0,1
49,68,50,0.7,0.3,0,1,3,45,0,3
29,95,10,0.78,0.22,0,1,2,22,1,1
34,102,13,0.73,0.27,0,1,1,43,0,1
19,25,11,0.3,0.7,0,3,2,31,0,1
44,48,48,0.89,0.11,0,2,1,25,1,3
22,27,13,0.23,0.77,0,2,2,39,0,1
30,100,9,0.78,0.22,0,0,1,57,1,3
48,51,41,0.86,0.14,0,2,1,36,0,1
54,58,22,0.87,0.13,0,2,2,34,0,1
39,76,23,0.71,0.29,0,0,3,41,0,1
50,45,42,0.76,0.24,0,1,2,57,1,3
41,58,37,0.14,0.86,0,2,2,57,0,3
32,72,38,0.72,0.28,0,0,1,53,0,1
54,59,32,0.75,0.25,0,1,1,58,1,4
33,66,28,0.72,0.28,0,0,1,43,0,3
46,55,36,0.75,0.25,0,1,2,45,0,1
37,77,40,0.71,0.29,0,1,3,51,1,3
46,71,40,0.15,0.85,1,2,2,53,1,1
40,71,38,0.71,0.29,0,0,1,57,0,1
35,112,10,0.13,0.87,0,0,2,36,0,1
37,77,40,0.71,0.29,0,1,3,51,1,3
49,74,44,0.77,0.23,0,1,1,44,0,1
20,25,11,0.28,0.72,0,3,1,39,0,2
40,47,39,0.95,0.05,0,1,1,28,1,3
23,36,9,0.25,0.75,0,3,2,40,1,1
49,49,39,0.93,0.07,0,1,2,24,0,1
60,55,31,0.72,0.28,0,2,3,55,1,2
35,112,10,0.13,0.87,0,0,2,36,0,1
55,48,40,0.76,0.24,0,1,1,42,0,1
55,53,40,0.93,0.07,0,1,1,26,0,1
39,78,31,0.14,0.86,1,2,2,35,0,3
48,64,24,0.15,0.85,1,3,2,50,0,3
52,59,35,0.77,0.23,0,1,3,41,0,1
31,109,12,0.73,0.27,0,1,3,46,0,2
51,48,42,0.92,0.08,0,1,2,38,1,3
42,71,37,0.17,0.83,0,2,2,40,1,3
55,48,40,0.76,0.24,0,1,1,42,0,1
39,75,42,0.78,0.22,0,2,3,33,1,2
20,25,13,0.29,0.71,0,2,2,36,0,3
25,96,13,0.78,0.22,0,1,2,55,0,2
52,70,44,0.76,0.24,0,1,1,46,0,3
46,71,40,0.15,0.85,1,2,2,53,1,1
63,57,24,0.86,0.14,0,1,1,35,0,1
38,65,47,0.72,0.28,0,1,2,48,1,1
48,52,44,0.89,0.11,0,2,2,25,0,3
52,76,23,0.15,0.85,0,3,2,36,0,1
22,30,10,0.23,0.77,1,1,1,45,0,3
45,68,46,0.78,0.22,0,1,3,47,0,1
35,95,9,0.17,0.83,0,0,2,52,0,1
48,69,55,0.74,0.26,0,1,1,45,0,2
52,79,45,0.78,0.22,0,0,1,46,0,1
47,56,30,0.8,0.2,0,1,2,54,1,3
60,58,33,0.93,0.07,0,2,2,30,0,3
47,46,35,0.9,0.1,0,1,2,25,1,2
21,33,11,0.21,0.79,0,3,2,58,0,2
45,68,39,0.74,0.26,0,2,2,48,0,1
47,51,34,0.87,0.13,0,2,1,29,1,1
48,61,23,0.87,0.13,0,2,1,22,0,3
47,49,33,0.78,0.22,0,1,2,51,1,4
30,106,9,0.15,0.85,0,1,2,48,0,2
49,49,40,0.73,0.27,0,2,2,46,1,2
40,47,39,0.95,0.05,0,1,1,28,1,3
34,105,13,0.75,0.25,0,0,2,41,0,4
31,96,9,0.71,0.29,0,0,1,50,0,2
56,63,45,0.79,0.21,0,2,2,42,0,1
48,66,31,0.19,0.81,0,2,2,42,0,1
48,64,24,0.15,0.85,1,3,2,50,0,3
40,61,40,0.71,0.29,0,1,1,56,0,3
44,65,43,0.76,0.24,0,1,1,56,0,1
35,111,10,0.15,0.85,0,0,2,57,0,2
29,98,15,0.73,0.27,0,0,1,29,0,3
22,34,14,0.2,0.8,0,3,2,32,0,3
46,50,42,0.75,0.25,0,1,2,40,1,2
25,109,12,0.74,0.26,0,1,1,44,0,2
50,49,30,0.74,0.26,0,1,2,48,0,1
31,102,14,0.75,0.25,0,1,2,40,0,4
32,112,15,0.15,0.85,0,0,2,47,0,1
21,27,10,0.3,0.7,0,3,1,25,0,3
32,102,15,0.79,0.21,0,1,2,47,0,1
34,67,33,0.75,0.25,0,0,1,55,0,1
28,98,10,0.77,0.23,0,0,2,44,0,3
43,60,41,0.73,0.27,0,2,1,56,1,3
43,59,29,0.78,0.22,0,1,1,42,0,1
54,62,39,0.77,0.23,0,1,2,46,0,1
49,49,40,0.73,0.27,0,2,2,46,1,2
35,65,32,0.1,0.9,0,2,2,45,1,1
57,51,40,0.93,0.07,0,1,1,23,0,2
31,108,15,0.71,0.29,0,1,3,57,1,1
59,47,26,0.95,0.05,0,1,2,34,0,3
70,49,48,0.92,0.08,0,1,2,37,1,2
31,96,14,0.18,0.82,0,0,2,35,1,3
45,56,33,0.79,0.21,0,1,2,49,0,3
50,49,30,0.74,0.26,0,1,2,48,0,1
36,65,32,0.94,0.06,0,2,2,31,1,2
54,67,38,0.72,0.28,0,1,1,55,1,2
29,111,9,0.75,0.25,0,1,3,26,0,4
49,64,21,0.9,0.1,0,2,2,26,0,2
40,73,20,0.73,0.27,0,0,1,45,0,1
31,108,15,0.71,0.29,0,1,3,57,1,1
43,54,36,0.93,0.07,0,1,2,24,1,2
25,109,12,0.74,0.26,0,1,1,44,0,2
42,48,33,0.71,0.29,0,2,2,51,1,1
52,47,36,0.8,0.2,0,1,3,40,1,1
52,79,32,0.75,0.25,0,2,3,56,0,1
33,112,9,0.75,0.25,0,0,2,47,0,1
26,108,15,0.74,0.26,0,1,2,57,0,1
40,80,21,0.78,0.22,0,1,1,33,0,3
27,110,12,0.78,0.22,0,0,2,33,0,1
45,51,19,0.86,0.14,0,2,2,27,0,3
43,72,38,0.13,0.87,0,2,2,39,0,2
37,76,22,0.72,0.28,0,1,3,46,0,3
51,62,40,0.86,0.14,0,1,1,27,1,1
30,106,10,0.77,0.23,0,0,1,52,1,1
50,49,30,0.74,0.26,0,1,2,48,0,1
53,78,29,0.13,0.87,0,2,2,40,0,4
40,80,21,0.78,0.22,0,1,1,33,0,3
52,80,32,0.74,0.26,0,1,1,29,0,3
65,49,55,0.89,0.11,0,1,2,33,0,3
27,103,15,0.75,0.25,0,0,2,24,0,3
33,98,14,0.15,0.85,0,0,2,57,0,3
52,52,40,0.77,0.23,0,1,3,40,1,3
51,51,33,0.77,0.23,0,1,2,47,0,1
32,102,15,0.79,0.21,0,1,2,47,0,1
30,100,9,0.78,0.22,0,0,1,57,1,3
50,68,40,0.11,0.89,1,2,2,51,0,1
48,52,44,0.89,0.11,0,2,2,25,0,3
24,28,11,0.23,0.77,1,2,2,58,0,1
47,55,30,0.78,0.22,0,1,2,53,0,3
42,55,37,0.89,0.11,0,1,3,27,0,1
49,73,48,0.7,0.3,0,0,1,50,0,1
49,69,28,0.77,0.23,0,1,1,51,0,1
47,54,42,0.77,0.23,0,1,1,46,1,3
47,59,29,0.88,0.12,0,1,3,28,0,1
45,78,47,0.94,0.06,0,1,1,23,0,1
26,99,10,0.11,0.89,0,0,2,49,0,1
43,56,41,0.87,0.13,0,2,2,36,0,1
26,99,10,0.11,0.89,0,0,2,49,0,1
50,66,24,0.77,0.23,0,1,3,42,1,1
38,75,25,0.76,0.24,0,1,1,42,0,1
37,70,42,0.18,0.82,0,3,2,58,1,1
34,80,54,0.78,0.22,0,1,1,44,1,1
45,45,30,0.79,0.21,0,1,2,56,1,1
68,50,35,0.92,0.08,0,1,2,33,1,3
53,46,37,0.78,0.22,0,1,1,46,0,4
70,49,48,0.92,0.08,0,1,2,37,1,2
48,77,42,0.76,0.24,0,0,1,58,0,1
47,71,33,0.91,0.09,0,2,1,30,1,1
21,33,11,0.21,0.79,0,3,2,58,0,2
24,28,11,0.23,0.77,1,2,2,58,0,1
51,54,43,0.71,0.29,0,1,3,55,1,4
48,70,22,0.76,0.24,0,1,1,48,0,1
32,72,38,0.72,0.28,0,0,1,53,0,1
37,77,40,0.71,0.29,0,1,3,51,1,3
57,51,40,0.93,0.07,0,1,1,23,0,2
52,58,32,0.91,0.09,0,1,1,24,0,2
43,72,38,0.13,0.87,0,2,2,39,0,2
22,28,10,0.22,0.78,1,3,2,33,0,4
44,65,43,0.76,0.24,0,1,1,56,0,1
45,68,46,0.78,0.22,0,1,3,47,0,1
22,34,14,0.2,0.8,0,3,2,32,0,3
35,96,10,0.1,0.9,0,1,2,58,1,1
27,106,13,0.15,0.85,0,0,2,38,1,1
46,56,37,0.89,0.11,0,1,3,29,1,1
47,48,33,0.77,0.23,0,2,2,46,0,1
45,56,29,0.15,0.85,1,2,2,46,0,3
33,98,14,0.72,0.28,0,0,1,24,1,3
38,67,47,0.76,0.24,0,1,3,42,1,3
35,76,29,0.1,0.9,0,3,2,46,0,4
46,71,40,0.15,0.85,1,2,2,53,1,1
23,26,12,0.22,0.78,0,2,3,39,0,1
68,50,35,0.92,0.08,0,1,2,33,1,3
54,59,32,0.75,0.25,0,1,1,58,1,4
47,76,23,0.77,0.23,0,0,1,46,0,3
36,78,30,0.78,0.22,0,1,1,58,1,3
49,49,40,0.73,0.27,0,2,2,46,1,2
20,24,10,0.3,0.7,1,2,2,48,0,1
49,49,40,0.73,0.27,0,2,2,46,1,2
39,46,45,0.9,0.1,0,1,2,31,0,3
54,60,40,0.76,0.24,0,1,2,49,0,1
55,52,44,0.77,0.23,0,2,2,41,0,2
39,45,37,0.77,0.23,0,1,2,40,1,1
19,35,14,0.25,0.75,1,2,2,43,0,1
50,66,24,0.77,0.23,0,1,3,42,1,1
52,67,41,0.75,0.25,0,0,1,46,0,3
27,106,13,0.15,0.85,0,0,2,38,1,1
53,48,40,0.72,0.28,0,1,3,54,0,1
25,108,10,0.16,0.84,0,0,2,48,1,1
19,37,10,0.22,0.78,0,2,2,53,0,1
36,74,32,0.75,0.25,0,1,1,53,0,3
22,33,12,0.26,0.74,0,3,2,56,0,1
67,52,35,0.73,0.27,0,2,3,45,1,1
21,35,10,0.24,0.76,1,3,2,45,0,3
44,50,38,0.79,0.21,0,1,1,49,0,1
34,102,13,0.73,0.27,0,1,1,43,0,1
39,75,42,0.78,0.22,0,2,3,33,1,2
47,55,30,0.78,0.22,0,1,2,53,0,3
35,106,15,0.74,0.26,0,0,3,46,1,1
23,26,12,0.22,0.78,0,2,3,39,0,1
45,47,35,0.79,0.21,0,2,3,44,1,2
39,51,35,0.73,0.27,0,1,1,42,0,2
24,28,9,0.23,0.77,0,3,2,39,0,1
40,76,36,0.72,0.28,0,1,2,25,1,1
27,106,13,0.15,0.85,0,0,2,38,1,1
27,108,14,0.73,0.27,0,0,1,31,0,2
33,101,11,0.74,0.26,0,1,2,55,0,1
50,76,42,0.7,0.3,0,0,3,58,0,1
59,62,42,0.14,0.86,0,3,2,43,1,1
35,111,9,0.73,0.27,0,1,3,55,0,2
34,69,35,0.19,0.81,1,2,1,49,0,3
49,74,44,0.77,0.23,0,1,1,44,0,1
25,97,15,0.76,0.24,0,1,2,45,1,1
27,106,13,0.15,0.85,0,0,2,38,1,1
46,67,35,0.8,0.2,0,1,1,53,0,1
53,70,46,0.75,0.25,0,0,2,58,0,1
37,70,42,0.18,0.82,0,3,2,58,1,1
33,65,25,0.8,0.2,0,2,1,57,0,3
35,112,10,0.13,0.87,0,0,2,36,0,1
45,60,29,0.8,0.2,0,1,1,47,0,3
34,79,46,0.8,0.2,0,0,1,50,0,1
26,96,14,0.76,0.24,0,1,1,42,1,3
50,73,53,0.71,0.29,0,1,1,55,0,2
42,61,43,0.95,0.05,0,1,1,29,0,1
45,47,35,0.79,0.21,0,2,3,44,1,2
47,51,43,0.95,0.05,0,1,3,34,0,3
63,64,39,0.87,0.13,0,2,1,22,0,3
43,59,29,0.78,0.22,0,1,1,42,0,1
49,64,21,0.9,0.1,0,2,2,26,0,2
45,68,46,0.78,0.22,0,1,3,47,0,1
33,105,12,0.7,0.3,0,0,1,47,0,4
47,48,33,0.77,0.23,0,2,2,46,0,1
43,54,36,0.93,0.07,0,1,2,24,1,2
20,25,11,0.28,0.72,0,3,1,39,0,2
50,62,34,0.77,0.23,0,1,3,53,0,3
42,48,33,0.71,0.29,0,2,2,51,1,1
55,52,44,0.77,0.23,0,2,2,41,0,2
20,25,13,0.29,0.71,0,2,2,36,0,3
63,53,20,0.9,0.1,0,1,1,29,1,1
31,107,15,0.2,0.8,0,0,2,52,0,2
39,65,26,0.15,0.85,1,2,1,56,0,1
50,73,53,0.71,0.29,0,1,1,55,0,2
39,62,37,0.72,0.28,0,1,3,55,0,4
33,100,14,0.76,0.24,0,0,1,40,0,1
52,51,35,0.71,0.29,0,2,3,48,0,2
51,62,40,0.86,0.14,0,1,1,27,1,1
27,106,13,0.15,0.85,0,0,2,38,1,1
51,48,42,0.92,0.08,0,1,2,38,1,3
40,58,34,0.78,0.22,0,1,2,47,0,3
46,78,30,0.78,0.22,0,0,3,54,0,3
54,60,40,0.76,0.24,0,1,2,49,0,1
45,64,40,0.92,0.08,1,3,3,37,0,3
38,75,25,0.76,0.24,0,1,1,42,0,1
65,60,43,0.7,0.3,0,2,1,50,0,1
49,74,53,0.73,0.27,0,0,1,57,1,3
51,62,40,0.72,0.28,0,1,1,57,0,1
